Subject,Title,Summary,Link
Astrophysics,Cosmic Accelerators,"I discuss the scientific rationale and opportunities in the study of high energy particle accelerators away from the Earth; mostly, those outside the Solar System. I also briefly outline the features to be desired in telescopes used to probe accelerators studied by remote sensing.",http://arxiv.org/abs/0903.4884v1
Astrophysics,Simple scaling laws for astrophysical jets,"The idea of a unified model for all astrophysical jets has been considered for quite some time. We present here a few scaling laws relevant to all type of astrophysical jets, analogous to those of \citet{sams96} which are widely used for astrophysical black holes. We use Buckingham's $ \Pi $ theorem of dimensional analysis to obtain a family of dimensional relations among the physical quantities associated to astrophysical jets.",http://arxiv.org/abs/0903.4884v1
Astrophysics,Prediction of nuclear reaction rates for astrophysics,"This is an overview over the prediction of astrophysical reaction rates in the statistical model, with special emphasis on the parametrization of optical alpha+nucleus potentials.",http://arxiv.org/abs/0903.4884v1
Astrophysics,Nuclear Astrophysics: CIPANP 2006,"I review progress that has been made in nuclear astrophysics over the past few years and summarize some of the questions that remain. Topics selected include solar neutrinos, supernovae (the explosion and associated nucleosynthesis), laboratory astrophysics, and neutron star structure.",http://arxiv.org/abs/0903.4884v1
Astrophysics,The Role of Radioactivities in Astrophysics,I present both a history of radioactivity in astrophysics and an introduction to the major applications of radioactive abundances to astronomy.,http://arxiv.org/abs/0903.4884v1
Astrophysics,The Source of Turbulence in Astrophysical Disks: An Ill-posed Problem.,An critical overview of the current state of research in turbulence in astrophysical disks.,http://arxiv.org/abs/0903.4884v1
Astrophysics,Summary Talk: Challenges in Particle Astrophysics,"A summary of the session on Particle Astrophysics at the Rencontre de Vietnam, 2006.",http://arxiv.org/abs/0903.4884v1
Astrophysics,VHE astrophysics: recent developments,"We review the current status, and some open issues, of VHE astrophysics.",http://arxiv.org/abs/0903.4884v1
Astrophysics,"Summary of Parallel Session: ""Relativistic and Particle Astrophysics""","The parallel session on ""Relativistic and Particle Astrophysics"" was held on 14th December 2015. Here a short summary of each presentation of this parallel session is given.",http://arxiv.org/abs/0903.4884v1
Astrophysics,CosPA2013: Outlook,Outlook talk presented at the 10th International Symposium on Cosmology and Particle Astrophysics (CosPA2013),http://arxiv.org/abs/0903.4884v1
Astrophysics,Hydrodynamical scaling laws for astrophysical jets,"The idea of a unified model for all astrophysical jets has been considered for some time now. We present here some hydrodynamical scaling laws relevant for all type of astrophysical jets, analogous to those of Sams et al. (1996). We use Buckingham's Pi theorem of dimensional analysis to obtain a family of dimensional relations among the physical quantities associated with the jets.",http://arxiv.org/abs/0903.4884v1
Astrophysics,Laboratory Astrophysics and the State of Astronomy and Astrophysics,"Laboratory astrophysics and complementary theoretical calculations are the foundations of astronomy and astrophysics and will remain so into the foreseeable future. The impact of laboratory astrophysics ranges from the scientific conception stage for ground-based, airborne, and space-based observatories, all the way through to the scientific return of these projects and missions. It is our understanding of the under-lying physical processes and the measurements of critical physical parameters that allows us to address fundamental questions in astronomy and astrophysics. In this regard, laboratory astrophysics is much like detector and instrument development at NASA, NSF, and DOE. These efforts are necessary for the success of astronomical research being funded by the agencies. Without concomitant efforts in all three directions (observational facilities, detector/instrument development, and laboratory astrophysics) the future progress of astronomy and astrophysics is imperiled. In addition, new developments in experimental technologies have allowed laboratory studies to take on a new role as some questions which previously could only be studied theoretically can now be addressed directly in the lab. With this in mind we, the members of the AAS Working Group on Laboratory Astrophysics, have prepared this State of the Profession Position Paper on the laboratory astrophysics infrastructure needed to ensure the advancement of astronomy and astrophysics in the next decade.",http://arxiv.org/abs/0903.4884v1
Astrophysics,Careers in astronomy in Germany and the UK,"We discuss the outcomes of surveys addressing the career situation of astronomers in Germany and the UK, finding social and cultural differences between communities as well as gender bias in both.",http://arxiv.org/abs/0903.4884v1
Astrophysics,"Astrophysics Conducted by the Lunar University Network for Astrophysics
  Research (LUNAR) and the Center for Lunar Origins (CLOE)","[Abridged] The Moon is a unique platform from and on which to conduct astrophysical measurements. The Lunar University Network for Astrophysics Research (LUNAR) and the Center for Lunar Origins and Evolution (CLOE) teams within the NASA Lunar Science Institute (NLSI) are illustrating how the Moon can be used as a platform to advance important goals in astrophysics. Of relevance to Astrophysics and aligned with NASA strategic goals, all three of the primary research themes articulated by New Worlds, New Horizons in Astronomy & Astrophysics are being addressed by LUNAR and CLOE, namely Probing Cosmic Dawn, Understanding New Worlds, and Physics of the Universe",http://arxiv.org/abs/0903.4884v1
Astrophysics,"Roles and Needs of Laboratory Astrophysics in NASA's Space and Earth
  Science Mission","Laboratory astrophysics and complementary theoretical calculations are the foundations of astronomy and astrophysics and will remain so into the foreseeable future. The mission enabling impact of laboratory astrophysics ranges from the scientific conception stage for airborne and space-based observatories, all the way through to the scientific return of these missions. It is our understanding of the under-lying physical processes and the measurements of critical physical parameters that allows us to address fundamental questions in astronomy and astrophysics. In this regard, laboratory astrophysics is much like detector and instrument development at NASA. These efforts are necessary for the success of astronomical research being funded by NASA. Without concomitant efforts in all three directions (observational facilities, detector/instrument development, and laboratory astrophysics) the future progress of astronomy and astrophysics is imperiled. In addition, new developments in experimental technologies have allowed laboratory studies to take on a new role as some questions which previously could only be studied theoretically can now be addressed directly in the lab. With this in mind we, the members of the AAS Working Group on Laboratory Astrophysics (WGLA), have prepared this White Paper on the laboratory astrophysics infrastructure needed to maximize the scientific return from NASA's space and Earth sciences program.",http://arxiv.org/abs/0903.4884v1
Astrophysics,"Proceedings ""Neutrino Astrophysics""","Collection of ""Extended Abstracts"" of talks presented at the SFB-375 workshop NEUTRINO ASTROPHYSICS, Ringberg Castle, Tegernsee, Germany, 20-24 Oct. 1997. Topics include Solar Neutrinos, Supernovae, Gamma-Ray Bursts, High-Energy Neutrinos (atmospheric, astrophysical), Cosmology, and Future Prospects. The focus is on astrophysical and experimental/observational aspects of astrophysical neutrinos while particle theory and neutrino laboratory experiments are not covered.",http://arxiv.org/abs/0903.4884v1
Astrophysics,"Recent Astrophysics Results from ORELA and Possible Future Experiments
  at ORELA and SNS","I present some recent results from experiments at the Oak Ridge Electron Linear Accelerator (ORELA) and discuss their impact in nuclear astrophysics. I then describe some possible future nuclear astrophysics experiments at ORELA and at the Spallation Neutron Source (SNS) being built in Oak Ridge. The SNS and ORELA are complementary, world-class facilities and both will be needed for important future experiments in nuclear astrophysics.",http://arxiv.org/abs/0903.4884v1
Astrophysics,Laboratory Investigations into the Extreme Universe,"Recent years have seen tremendous progress in our understanding of the extreme universe, which in turn points to even deeper questions to be further addressed. History has shown that the symbiosis between direct observations and laboratory investigations is instrumental in the progress of astrophysics. Current frontier astrophysical phenomena related to particle astrophysics and cosmology typically involve one or more of the following conditions: (1) extremely high energy events;(2) very high density, high temperature processes; (3) super strong field environments. Laboratory experiments using high intensity lasers and particle beams can calibrate astrophysical observation or detection processes, investigate the underlying dynamics of astrophysical phenomena, and probe fundamental physics in extreme limits. We give examples of possible laboratory experiments that investigate into the extreme universe.",http://arxiv.org/abs/0903.4884v1
Astrophysics,Scientific Productivity with X-ray All-Sky Monitors,"We outline scientific objectives for monitoring X-ray sources and transients with wide-angle, coded mask cameras. It is now possible to instantaneously view half of the sky over long time intervals, gaining access to events of extraordinary interest. Solid state detectors can raise the quality of data products for bright sources to levels associated with pointed instruments. There are diverse ways to advance high energy astrophysics and quantitative applications for general relativity.",http://arxiv.org/abs/0903.4884v1
Astrophysics,Open issues in neutrino astrophysics,"Neutrinos of astrophysical origin are messengers produced in stars, in explosive phenomena like core-collapse supernovae, in the accretion disks around black holes, or in the Earth's atmosphere. Their fluxes and spectra encode information on the environments that produce them. Such fluxes are modified in characteristic ways when neutrinos traverse a medium. Here our current understanding of neutrino flavour conversion in media is summarized. The importance of this domain for astrophysical observations is emphasized. Examples are given of the fundamental properties that astrophysical neutrinos have uncovered, or might reveal in the future.",http://arxiv.org/abs/0903.4884v1
Astrophysics,Radiation processes and models,"This is a basic introduction to the physics of compact objects in the context of High Time Resolution Astrophysics (HTRA). The main mechanisms of energy release and the properties of relevant radiation processes are briefly reviewed. As a specific example, the top models for the multi-wavelength variability of accreting black holes are unveiled.",http://arxiv.org/abs/0903.4884v1
Astrophysics,"Remarks about the thermodynamics of astrophysical systems in mutual
  interaction and related notions","General aspects about the thermodynamics of astrophysical systems are discussed, overall, those concerning to astrophysical systems in mutual interaction (or the called \emph{open astrophysical systems}). A special interest is devoted along the paper to clarify several misconceptions that are still common in the recent literature, such as the direct application to the astrophysical scenario of notions and theoretical frameworks that were originally conceived to deal with extensive systems of the everyday practice (large systems with short-range interactions).",http://arxiv.org/abs/0903.4884v1
Astrophysics,New astrophysical limit on neutrino millicharge,An impact of a nonzero neutrino millicharge in astrophysics is tested. It is shown that in astrophysical environments electromagnetic interactions of the neutrino millicharge with strong electromagnetic fields as well as weak interactions of the neutrinos with dense background matter can produce new phenomena accessible for astrophysical observations. On this basis a new limit on the neutrino millicharge $q_0<1.3\times10^{-19}e_0$ is obtained. This limit is among the strongest astrophysical constraint on the neutrino millicharge. Some other possible applications of the obtained results to astrophysics are discussed in details.,http://arxiv.org/abs/0903.4884v1
Astrophysics,Trends in Nuclear Astrophysics,"Nuclear Astrophysics is a vibrant field at the intersection of nuclear physics and astrophysics that encompasses research in nuclear physics, astrophysics, astronomy, and computational science. This paper is not a review. It is intended to provide an incomplete personal perspective on current trends in nuclear astrophysics and the specific role of nuclear physics in this field.",http://arxiv.org/abs/0903.4884v1
Astrophysics,Physics near a black-hole horizon,I discuss several general-relativistic effects that are likely to be of interest in the astrophysics of black holes and neutron stars,http://arxiv.org/abs/0903.4884v1
Astrophysics,Identification of Relativistic Effects in X-Ray Astrophysical Source,"Precise knowledge of the features of several X-ray sources from compact binary sources to galactic nuclei is gradually unveiling the physical parameters of relativistic neutron stars and black holes therein. Recent developments in theory, astrophysical models and experiments are reviewed.",http://arxiv.org/abs/0903.4884v1
Astrophysics,Primeval galaxies,"1) Introduction   2) PopIII stars and galaxies: a ""top-down"" theoretical approach   3) Lyman-alpha physics and astrophysics   4) Distant/primeval galaxies: observations and main results",http://arxiv.org/abs/0903.4884v1
Astrophysics,Lecture notes on high energy cosmic rays,"I give a concise introduction into high energy cosmic ray physics, including also few related aspects of high energy gamma-ray and neutrino astrophysics. The main emphasis is placed on astrophysical questions, and the level of the presentation is kept basic.",http://arxiv.org/abs/0903.4884v1
Astrophysics,Problems in High Energy Astrophysics,"This contribution discusses some of the main problems in high energy astrophysics, and the perspectives to solve them using different types of ""messengers"": cosmic rays, photons and neutrinos",http://arxiv.org/abs/0903.4884v1
Astrophysics,Neutrino Astrophysics,"I review the current status of neutrino astrophysics, including solar neutrinos; atmospheric neutrinos; neutrino mass and oscillations; supernova neutrinos; neutrino nucleosynthesis (Big Bang nucleosynthesis, the neutrino process, the r-process); neutrino cooling and red giants; and high energy neutrino astronomy.",http://arxiv.org/abs/0903.4884v1
Astrophysics,"Reply to Comment [arXiv:0809.2310] on Universal Charge-Radius Relation
  for Subatomic and Astrophysical Compact Objects [arXiv:0804.2140, PRL100
  (2008) 151102]","A reply to arXiv:0809.2310, ""Comment on Universal Charge-Radius Relation for Subatomic and Astrophysical Compact Objects"" [arXiv:0804.2140,PRL100(2008)151102]",http://arxiv.org/abs/0903.4884v1
Astrophysics,Astrophysics: Most distant cosmic blast seen,The most distant -ray burst yet sighted is the earliest astronomical object ever observed in cosmic history. This ancient beacon offers a glimpse of the little-known cosmic dark ages.,http://arxiv.org/abs/0903.4884v1
Astrophysics,"Statistical studies of Galactic open clusters I. Structural and basic
  astrophysical parameters",This paper has been withdrawn by the author because has been send to other journal.,http://arxiv.org/abs/0903.4884v1
Astrophysics,"SDSS-DR12 Bulk Stellar Spectral Classification: Artificial Neural
  Networks Approach","This paper explores the application of Probabilistic Neural Network (PNN), Support Vector Machine (SVM) and Kmeans clustering as tools for automated classification of massive stellar spectra.",http://arxiv.org/abs/0903.4884v1
Astrophysics,Satio Hayakawa and dawn of high-energy astrophysics in Japan,Pioneering works and stimulation by S. Hayakawa for the development of high-energy astrophysics in Japan.,http://arxiv.org/abs/0903.4884v1
Astrophysics,Superluminous supernovae: an explosive decade,"I review our current understanding of superluminous supernovae, mysterious events 100 times brighter than conventional stellar explosions.",http://arxiv.org/abs/0903.4884v1
Astrophysics,MAXI : Monitor of All-sky X-ray Image,Monitor of All-sky X-ray Image (MAXI) is a Japanese X-ray all-sky monitor onboard the International Space Station (ISS).,http://arxiv.org/abs/0903.4884v1
Astrophysics,AXAF in Context: A Revolution,"The unique power of AXAF (NASA's Advanced X-ray Astrophysics Facility) - due for launch in late 1988 - make it both the culmination of 20 years of X-ray astronomy, and a new starting point for X-ray astrophysics. This short paper tries to show just how revolutionary AXAF is.",http://arxiv.org/abs/0903.4884v1
Astrophysics,Effective geometry in Astrophysics,"The effective metric is introduced by means of two examples (non-linear electromagnetism and hydrodynamics),along with applications in Astrophysics. A sketch of the generality of the effect is also given.",http://arxiv.org/abs/0903.4884v1
Astrophysics,Astrophysical Quark Matter,"The quark matter may have great implications in astrophysical studies, which could appear in the early Universe, in compact stars, and/or as cosmic rays. After a general review of astrophysical quark matter, the density-dominated quark matter is focused.",http://arxiv.org/abs/0903.4884v1
Astrophysics,Population synthesis in astrophysics,We briefly describe different astrophysical applications of a population synthesis method. In some details we discuss the population synthesis of close binary systems and of isolated neutron stars.,http://arxiv.org/abs/0903.4884v1
Astrophysics,High energy astrophysical processes,We briefly review the high energy astrophysical processes that are related to the production of high energy $\gamma$-ray and neutrino signals and are likely to be important for the energy loss of high and ultrahigh energy cosmic rays. We also give examples for neutrino fluxes generated by different astrophysical objects and describe the cosmological link provided by cosmogenic neutrinos.,http://arxiv.org/abs/0903.4884v1
Astrophysics,"TeV Astrophysics, A Review",In this paper I briefly review recent progress in the field of ground-based gamma ray astrophysics.,http://arxiv.org/abs/0903.4884v1
Astrophysics,Open questions with ultra-high energy cosmic rays,We briefly discuss three aspects related to the origin of ultra-high energy cosmic rays (UHECRs) namely: 1) particle acceleration in astrophysical sources; 2) transition to an extragalactic origin; 3) spectrum and anisotropies at the highest energies.,http://arxiv.org/abs/0903.4884v1
Astrophysics,Best-Bet Astrophysical Neutrino Sources,"Likely astrophysical sources of detectable high-energy (>> TeV) neutrinos are considered. Based on gamma-ray emission properties, the most probable sources of neutrinos are argued to be GRBs, blazars, microquasars, and supernova remnants. Diffuse neutrino sources are also briefly considered.",http://arxiv.org/abs/0903.4884v1
Astrophysics,Cosmological and astrophysical aspects of finite-density QCD,The different phases of QCD at finite temperature and density lead to interesting effects in cosmology and astrophysics. In this work I review some aspects of the cosmological QCD transition and of astrophysics at high baryon density.,http://arxiv.org/abs/0903.4884v1
Astrophysics,"Global Transmission Coefficients in Hauser-Feshbach Calculations for
  Astrophysics",The current status of optical potentials employed in the prediction of thermonuclear reaction rates for astrophysics in the Hauser-Feshbach formalism is discussed. Special emphasis is put on $\alpha$+nucleus potentials. A novel approach for the prediction of $\alpha$+nucleus potentials is proposed. Further experimental efforts are motivated.,http://arxiv.org/abs/0903.4884v1
Astrophysics,"Astrophysical Rates for Explosive Nucleosynthesis: Stellar and
  Laboratory Rates for Exotic Nuclei",A selected overview of stellar effects and reaction mechanisms with relevance to the prediction of astrophysical reaction rates far off stability is provided.,http://arxiv.org/abs/0903.4884v1
Astrophysics,Jets (relativistic and non) in astrophysics,"Let's take stock of the situation on one of the most studied astrophysical phenomena during the latest years: the jets escaping from protostars, stellar singularities, GRB and active galactic nuclei.",http://arxiv.org/abs/0903.4884v1
Astrophysics,Isolated neutron stars and studies of their interiors,"In these lectures presented at Baikal summer school on physics of elementary particles and astrophysics 2011, I present a wide view of neutron star astrophysics with special attention paid to young isolated compact objects and studies of the properties of neutron star interiors using astronomical methods.",http://arxiv.org/abs/0903.4884v1
Astrophysics,Sources of GeV Photons and the Fermi Results,"This is a pedagological review of some astrophysical highlights of the Fermi Gamma ray Observatory, including theoretical studies related mainly to extragalactic Fermi science.",http://arxiv.org/abs/0903.4884v1
Astrophysics,"Decay data of radionuclides along the valley of nuclear stability for
  astrophysical applications",Several directions of the demand of decay data in nuclear astrophysics are discussed for radionuclides near the valley of nuclear stability. The current decay data evaluation results have been presented for a number of radionuclides of astrophysical interest. An extended list of such nuclides is offered for their nuclear characteristics to be further evaluated by the Decay Data Evaluation Project cooperation participants.,http://arxiv.org/abs/0903.4884v1
Astrophysics,High Energy Astrophysics,"High energy astrophysics is one of the most active branches in contemporary astrophysics. It studies astrophysical objects that emit X-ray and gamma-ray photons, such as accreting super-massive and stellar-size black holes, and various species of neutron stars. With the operations of many space-borne and ground-based observational facilities, high energy astrophysics has enjoyed a rapid development in the past decades. It is foreseen that the field will continue to advance rapidly in the coming decade, with possible ground-breaking discoveries of astrophysical sources in the high-energy neutrino and gravitational wave channels. This Special Issue of Frontiers of Physics is dedicated to a systematic survey of the field of high energy astrophysics as it stands in 2013.",http://arxiv.org/abs/0903.4884v1
Astrophysics,General relativity and relativistic astrophysics,"Einstein established the theory of general relativity and the corresponding field equation in 1915 and its vacuum solutions were obtained by Schwarzschild and Kerr for, respectively, static and rotating black holes, in 1916 and 1963, respectively. They are, however, still playing an indispensable role, even after 100 years of their original discovery, to explain high energy astrophysical phenomena. Application of the solutions of Einstein's equation to resolve astrophysical phenomena has formed an important branch, namely relativistic astrophysics. I devote this article to enlightening some of the current astrophysical problems based on general relativity. However, there seem to be some issues with regard to explaining certain astrophysical phenomena based on Einstein's theory alone. I show that Einstein's theory and its modified form, both are necessary to explain modern astrophysical processes, in particular, those related to compact objects.",http://arxiv.org/abs/0903.4884v1
Astrophysics,Neutrino Astrophysics,"We summarize the progress in neutrino astrophysics and emphasize open issues in our understanding of neutrino flavor conversion in media. We discuss solar neutrinos, core-collapse supernova neutrinos and conclude with ultra-high energy neutrinos.",http://arxiv.org/abs/0903.4884v1
Astrophysics,A Modelers' Opacity Wish List,"At the Workshop on Astrophysical Opacities, several attendees voiced their interest in a list of absorption data that are missing from or inadequate in current models of astrophysical objects. This wish list by modelers is meant as motivation and inspiration for experimentalists and theoreticians alike.",http://arxiv.org/abs/0903.4884v1
Astrophysics,Nonperturbative Quantum Field Theory in Astrophysics,"The extreme electromagnetic or gravitational fields associated with some astrophysical objects can give rise to macroscopic effects arising from the physics of the quantum vacuum. Therefore, these objects are incredible laboratories for exploring the physics of quantum field theories. In this dissertation, we explore this idea in three astrophysical scenarios.",http://arxiv.org/abs/0903.4884v1
Astrophysics,Astrophysical neutrinos: theory,"In the era of multi-messenger astronomy, neutrinos are among the most important astronomical messengers, due to their interaction properties. In these lessons I briefly review the main issues concerning the theory on astrophysical neutrinos.",http://arxiv.org/abs/0903.4884v1
Astrophysics,"New probability distributions in astrophysics: II. The generalized and
  double truncated Lindley","The statistical parameters of five generalizations of the Lindley distribution, such as the average, variance and moments, are reviewed. A new double truncated Lindley distribution with three parameters is derived. The new distributions are applied to model the initial mass function for stars.",http://arxiv.org/abs/0903.4884v1
Astrophysics,"HAWC Contributions to the 37th International Cosmic Ray Conference
  (ICRC2021)","Works submitted to the 37th International Cosmic Ray Conference.   Contents:   Operation, Calibration, and Analysis   Galactic Gamma-Ray Physics   Extra Galactic Gamma-Ray Physics   Cosmic-Ray Physics",http://arxiv.org/abs/0903.4884v1
Astrophysics,"Similarity Properties and Scaling Laws of Radiation Hydrodynamic Flows
  in Laboratory Astrophysics","The spectacular recent development of modern high-energy density laboratory facilities which concentrate more and more energy in millimetric volumes allows the astrophysical community to reproduce and to explore, in millimeter-scale targets and during very short times, astrophysical phenomena where radiation and matter are strongly coupled. The astrophysical relevance of these experiments can be checked from the similarity properties and especially scaling laws establishment, which constitutes the keystone of laboratory astrophysics. From the radiating optically thin regime to the so-called optically thick radiative pressure regime, we present in this paper, for the first time, a complete analysis of the main radiating regimes that we encountered in laboratory astrophysics with the same formalism based on the Lie-group theory. The use of the Lie group method appears as systematic which allows to construct easily and orderly the scaling laws of a given problem. This powerful tool permits to unify the recent major advances on scaling laws and to identify new similarity concepts that we discuss in this paper and which opens important applications for the present and the future laboratory astrophysics experiments. All these results enable to demonstrate theoretically that astrophysical phenomena in such radiating regimes can be explored experimentally thanks to powerful facilities. Consequently the results presented here are a fundamental tool for the high-energy density laboratory astrophysics community in order to quantify the astrophysics relevance and justify laser experiments. Moreover, relying on the Lie-group theory, this paper constitutes the starting point of any analysis of the self-similar dynamics of radiating fluids.",http://arxiv.org/abs/0903.4884v1
